artifact_id	parent_corpus_database_id	artifact_role	file_name	sample_kind	sample_status	candidate_parser_family	mirror_local_path	sample_path	estimated_rows_or_members	column_count	columns_preview	pair_signal_count	effect_signal_count	n_signal_count	identity_signal_count	priority_score	parser_priority	recommended_next_stage	routing_basis	queued_at
source_artifact_c78c27db0f390be3	repo_search_osf_92e639ac2dc7	data_file	Präsentation-LindaFriese-TimSaeger.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_c78c27db0f390be3__Pr_sentation-LindaFriese-TimSaeger.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_c78c27db0f390be3.json		0		0	0	2	0	9	low	inspect_code_or_text_for_generated_tables	n_signals=2	2026-05-02T09:17:08
source_artifact_77e507cd4092902b	repo_search_osf_92e639ac2dc7	data_file	Codebuch(Lehmann,Litters,Toplar).pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_77e507cd4092902b__Codebuch_Lehmann_Litters_Toplar_.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_77e507cd4092902b.json		0		0	0	0	1	7	low	deprioritize_for_figure1_parsing	identity_signals=1	2026-05-02T09:17:08
source_artifact_7aa516099cfbfde0	repo_search_osf_92e639ac2dc7	data_file	Codebuch_ Replikationsstudie_ TimSäger_LindaFriese.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_7aa516099cfbfde0__Codebuch__Replikationsstudie__TimSa_ger_LindaFriese.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_7aa516099cfbfde0.json		0		0	0	0	1	7	low	deprioritize_for_figure1_parsing	identity_signals=1	2026-05-02T09:17:08
source_artifact_8d6aded73d248fcb	repo_search_osf_92e639ac2dc7	data_file	Codebuch_Wollmann_Buschermöhle_Düwel.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_8d6aded73d248fcb__Codebuch_Wollmann_Buschermo_hle_Du_wel.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_8d6aded73d248fcb.json		0		0	0	0	1	7	low	deprioritize_for_figure1_parsing	identity_signals=1	2026-05-02T09:17:08
source_artifact_1a06a671e1c56582	repo_search_osf_92e639ac2dc7	data_file	Präsentation_S23-1_Brueckner_Bojic_Kohse_Frey.zip	zip_inventory	sampled	zip_member_inventory	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_1a06a671e1c56582__Pr_sentation_S23-1_Brueckner_Bojic_Kohse_Frey.zip	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_1a06a671e1c56582.json	146	0		0	0	0	0	6	low	inventory_metadata_and_links	no strong field signatures	2026-05-02T09:17:08
source_artifact_c5ab36705d86d039	repo_search_osf_92e639ac2dc7	data_file	Ergebnisse_LenaJestrimski_SelinBayram.html	html_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_c5ab36705d86d039__Ergebnisse_LenaJestrimski_SelinBayram.html	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_c5ab36705d86d039.json		0		0	0	0	0	4	low	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_f3fa23e4d804609c	repo_search_osf_92e639ac2dc7	data_file	Fragebogen(Lehmann,Litters,Toplar).pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_f3fa23e4d804609c__Fragebogen_Lehmann_Litters_Toplar_.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_f3fa23e4d804609c.json		0		0	0	0	0	4	low	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_f6e2dc14bbca2c18	repo_search_osf_92e639ac2dc7	data_file	Handout_S23_1_Wollmann_Buschermöhle_Düwel_2024.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_f6e2dc14bbca2c18__Handout_S23_1_Wollmann_Buschermo_hle_Du_wel_2024.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_f6e2dc14bbca2c18.json		0		0	0	0	0	4	low	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_4ea7ce4b6b5fb29c	repo_search_osf_92e639ac2dc7	data_file	Legende_keine_Eingabe(Lehmann,Litters,Toplar).pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_4ea7ce4b6b5fb29c__Legende_keine_Eingabe_Lehmann_Litters_Toplar_.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_4ea7ce4b6b5fb29c.json		0		0	0	0	0	4	low	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_771e12887c4aba6b	repo_search_osf_92e639ac2dc7	data_file	Präsentation.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_771e12887c4aba6b__Pra_sentation.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_771e12887c4aba6b.json		0		0	0	0	0	4	low	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_a14e5136871aa336	repo_search_osf_92e639ac2dc7	data_file	Präsentation_Ergebnisse_Wollmann_Buschermöhle_Düwel.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_a14e5136871aa336__Pra_sentation_Ergebnisse_Wollmann_Buschermo_hle_Du_wel.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_a14e5136871aa336.json		0		0	0	0	0	4	low	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_8c651a42deebefaa	repo_search_osf_92e639ac2dc7	data_file	Präsentation_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_8c651a42deebefaa__Pr_sentation_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_8c651a42deebefaa.json		0		0	0	0	0	4	low	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_f2ec984de73b8a74	repo_search_osf_92e639ac2dc7	data_file	Questionnaire_s23_1_Meissner_Schmauch_Rieckmann.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_f2ec984de73b8a74__Questionnaire_s23_1_Meissner_Schmauch_Rieckmann.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_f2ec984de73b8a74.json		0		0	0	0	0	4	low	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_112690050dc2d49f	repo_search_osf_92e639ac2dc7	data_file	Umfrage_ Unipark_Wollmann_Buschermöhle_Düwel.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_112690050dc2d49f__Umfrage__Unipark_Wollmann_Buschermo_hle_Du_wel.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_112690050dc2d49f.json		0		0	0	0	0	4	low	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_0e1a44ac192223cf	repo_search_osf_92e639ac2dc7	data_file	Data_unfiltered_s23_1_Brueckner_Bojic_Kohse_Frey.csv	sample_failed	sample_failed	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_0e1a44ac192223cf__Data_unfiltered_s23_1_Brueckner_Bojic_Kohse_Frey.csv	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_0e1a44ac192223cf.json		0		0	0	0	0	-2	low	repair_or_manual_inventory	no strong field signatures	2026-05-02T09:17:08
source_artifact_158b1175ccb599fb	repo_search_osf_92e639ac2dc7	data_file	Data_unfiltered_s23_1_Meissner_Schmauch_Rieckmann.csv	sample_failed	sample_failed	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_158b1175ccb599fb__Data_unfiltered_s23_1_Meissner_Schmauch_Rieckmann.csv	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_158b1175ccb599fb.json		0		0	0	0	0	-2	low	repair_or_manual_inventory	no strong field signatures	2026-05-02T09:17:08
source_artifact_6375868995da59bd	repo_search_osf_92e639ac2dc7	data_file	Datensatz_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.csv	sample_failed	sample_failed	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_6375868995da59bd__Datensatz_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.csv	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_6375868995da59bd.json		0		0	0	0	0	-2	low	repair_or_manual_inventory	no strong field signatures	2026-05-02T09:17:08
