rehydration_id	parent_corpus_database_id	artifact_id	provider	url	expected_sha256	expected_byte_size	route_kind	download_status	target_local_path	actual_sha256	actual_byte_size	access_metadata_written	error
figure1_rehydrate_fccd7eb0d539189f	github:ying531/awesome-replicability-data	source_artifact_c797fc5a11d24eec	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/yoga_original_cleaned.csv		97574	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_02__yoga_original_cleaned.csv	1301d6566868f4000870afbd91686c9d3ed1079bd422d63c66f1fa06a603f019	97574		
figure1_rehydrate_669e997cc05f17a3	github:ying531/awesome-replicability-data	source_artifact_50673de54be6764e	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/meditation_original_cleaned.csv	24b15f687389e2deac4dbfb316fdc6edbb6b986030254612062ff5a7b3bc8bb8	145265	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_03__meditation_original_cleaned.csv	24b15f687389e2deac4dbfb316fdc6edbb6b986030254612062ff5a7b3bc8bb8	145265		
figure1_rehydrate_09f2bfbd7803ba68	github:ying531/awesome-replicability-data	source_artifact_50673de54be6764e	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/meditation_original_cleaned.csv		145265	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_03__meditation_original_cleaned.csv	24b15f687389e2deac4dbfb316fdc6edbb6b986030254612062ff5a7b3bc8bb8	145265		
figure1_rehydrate_febaa926cdbaa056	github:ying531/awesome-replicability-data	source_artifact_f601008f96e201e3	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/meditation_replication_cleaned.csv	7f966d002984afa75ff74895931d8fa86e16b3ad0c6c0dd48193f6fc4b9f82d5	340802	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_04__meditation_replication_cleaned.csv	7f966d002984afa75ff74895931d8fa86e16b3ad0c6c0dd48193f6fc4b9f82d5	340802		
figure1_rehydrate_778b75a4f6897e16	github:ying531/awesome-replicability-data	source_artifact_f601008f96e201e3	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/meditation_replication_cleaned.csv		340802	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_04__meditation_replication_cleaned.csv	7f966d002984afa75ff74895931d8fa86e16b3ad0c6c0dd48193f6fc4b9f82d5	340802		
figure1_rehydrate_bac96325df166be0	github:ying531/awesome-replicability-data	source_artifact_79fa21e695ffa204	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/original_process.r	4096d85fac8844fdc3e97b2477b7be3f71011d5b32b2042b319859381190e061	12183	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_05__original_process.r	4096d85fac8844fdc3e97b2477b7be3f71011d5b32b2042b319859381190e061	12183		
figure1_rehydrate_c7a406e9d79555cd	github:ying531/awesome-replicability-data	source_artifact_79fa21e695ffa204	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/original_process.r		12183	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_05__original_process.r	4096d85fac8844fdc3e97b2477b7be3f71011d5b32b2042b319859381190e061	12183		
figure1_rehydrate_ae074d8c6b64d10b	github:ying531/awesome-replicability-data	source_artifact_eefaccdcce346cd2	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/replication_process.r	0618b28ef30a2ecc33b6206c84428e3bc5800c9dca870698662b7d52ee88b496	13577	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_06__replication_process.r	0618b28ef30a2ecc33b6206c84428e3bc5800c9dca870698662b7d52ee88b496	13577		
figure1_rehydrate_02ddbe5467e17b6d	github:ying531/awesome-replicability-data	source_artifact_eefaccdcce346cd2	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/replication_process.r		13577	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_06__replication_process.r	0618b28ef30a2ecc33b6206c84428e3bc5800c9dca870698662b7d52ee88b496	13577		
figure1_rehydrate_dbdc35503ae3c230	github:ying531/awesome-replicability-data	source_artifact_93202c91c3649fa2	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/pain_coop/original_clean.csv	702cf873b437bdfa5765159263980762dfc1819897706b72e55ca1338c99c7b6	9419	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_pain_coop/github_01__original_clean.csv	702cf873b437bdfa5765159263980762dfc1819897706b72e55ca1338c99c7b6	9419		
figure1_rehydrate_69efdf863bea84b6	github:ying531/awesome-replicability-data	source_artifact_93202c91c3649fa2	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/pain_coop/original_clean.csv		9419	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_pain_coop/github_01__original_clean.csv	702cf873b437bdfa5765159263980762dfc1819897706b72e55ca1338c99c7b6	9419		
figure1_rehydrate_dd02253859e20c55	github:ying531/awesome-replicability-data	source_artifact_2c0ec616743e3f73	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/pain_coop/replication1_clean.csv	937a218e516a44adabdf3a8888fa96713d9ddc3c519de38d2da617cb7308ae21	19080	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_pain_coop/github_02__replication1_clean.csv	937a218e516a44adabdf3a8888fa96713d9ddc3c519de38d2da617cb7308ae21	19080		
figure1_rehydrate_30649d03c7a72666	github:ying531/awesome-replicability-data	source_artifact_2c0ec616743e3f73	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/pain_coop/replication1_clean.csv		19080	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_pain_coop/github_02__replication1_clean.csv	937a218e516a44adabdf3a8888fa96713d9ddc3c519de38d2da617cb7308ae21	19080		
figure1_rehydrate_ae671719f145a3e9	github:ying531/awesome-replicability-data	source_artifact_cc0190f30abbdb2b	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/pain_coop/replication2_clean.csv	b16896fec7c0268b04012e35ab082904122800ac58f9c6b9ebac2f6d5337cd59	19563	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_pain_coop/github_03__replication2_clean.csv	b16896fec7c0268b04012e35ab082904122800ac58f9c6b9ebac2f6d5337cd59	19563		
figure1_rehydrate_82ca8719f67ecd37	github:ying531/awesome-replicability-data	source_artifact_cc0190f30abbdb2b	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/pain_coop/replication2_clean.csv		19563	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_pain_coop/github_03__replication2_clean.csv	b16896fec7c0268b04012e35ab082904122800ac58f9c6b9ebac2f6d5337cd59	19563		
figure1_rehydrate_9817442ff0ed75fa	github:ying531/awesome-replicability-data	source_artifact_868b809be45ff5ff	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/pain_coop/process.R	b0e051cff6b44d7bb0d4481bd68ecc076cf0169cedfd1db30edbc69462172841	1580	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_pain_coop/github_04__process.R	b0e051cff6b44d7bb0d4481bd68ecc076cf0169cedfd1db30edbc69462172841	1580		
figure1_rehydrate_9a2d49fa6a3176be	github:ying531/awesome-replicability-data	source_artifact_868b809be45ff5ff	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/pain_coop/process.R		1580	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_pain_coop/github_04__process.R	b0e051cff6b44d7bb0d4481bd68ecc076cf0169cedfd1db30edbc69462172841	1580		
