point_id,nct_id,D,N,registered_result_rows,primary_rows,secondary_rows,other_prespecified_rows,conversion_methods,field,field_label,source_family,study_type,allocation,phases,overall_status,primary_completion_date,results_first_submit_date,lead_sponsor_class,intervention_types,outcome_title,source_url,row_unit,log10_N,log10_D
ctgov_api_trial_median_05459,NCT03713320,0.43563974966586794,37.0,2,1,1,0,event_count_or_to_d_from_percent_measure; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,TERMINATED,2020-10-12,,INDUSTRY,DRUG,Percentage of Subjects Achieving an Objective Skin Response of at Least 4 Months Duration (ORR4),https://clinicaltrials.gov/study/NCT03713320,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.568201724066995,-0.3608725001905014
ctgov_api_trial_median_05460,NCT03714672,0.38312090465452653,412.5,4,4,0,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2018-03-09,,INDUSTRY,DRUG,Pain Relief Expressed as Total Pain Relief (TOTPAR) Over the 4 Hours Post-dose Period (TOTPAR4),https://clinicaltrials.gov/study/NCT03714672,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.6154239528859438,-0.4166641504747277
ctgov_api_trial_median_05461,NCT03715465,0.2762836627109623,36.0,18,1,17,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2021-11-05,,OTHER,DRUG; OTHER,Change From Baseline Time of Dim Light Melatonin Onset (DLMO) at 4 Weeks,https://clinicaltrials.gov/study/NCT03715465,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.5563025007672873,-0.558644795156785
ctgov_api_trial_median_05462,NCT03715829,0.690833001737863,117.5,4,4,0,0,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2021-02-05,,INDUSTRY,DEVICE; DRUG,Percent Change From Baseline in Central Read Facial-Vitiligo Area Scoring Index (F-VASI) at Week 24 - Dose Ranging (DR) Period,https://clinicaltrials.gov/study/NCT03715829,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.070037866607755,-0.16062692395590503
ctgov_api_trial_median_05463,NCT03716024,0.5040484093505244,162.0,4,2,2,0,event_count_or_to_d_from_count_measure,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2008-01-07,,INDUSTRY,DRUG,Number of Participants With Clinical Response in the Clinically Evaluable (CE) Population,https://clinicaltrials.gov/study/NCT03716024,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.2095150145426308,-0.29752775144298
ctgov_api_trial_median_05464,NCT03721107,0.22265481407968787,176.5,2,2,0,0,event_count_or_to_d_from_percent_measure,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2020-05-13,,INDUSTRY,BIOLOGICAL; OTHER,Percentage of Participants With Overall Response,https://clinicaltrials.gov/study/NCT03721107,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.2467447097238415,-0.6523679104333124
ctgov_api_trial_median_05465,NCT03723980,0.16220817281469058,68.0,10,5,0,5,two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2018-04-24,,OTHER,DRUG,Pain Intensity Measure: Visual Analogue Pain Scale,https://clinicaltrials.gov/study/NCT03723980,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.8325089127062364,-0.7899272677641831
ctgov_api_trial_median_05466,NCT03725033,0.16866898350816176,193.0,4,1,3,0,event_count_or_to_d_from_count_measure; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2020-03-23,,INDUSTRY,DRUG,Change 2-hour Plasma Glucose (During Oral Glucose Tolerance Test).,https://clinicaltrials.gov/study/NCT03725033,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.285557309007774,-0.7729647723587199
ctgov_api_trial_median_05467,NCT03725722,0.617735636884061,98.5,16,4,12,0,event_count_or_to_d_from_count_measure; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2020-05-19,,INDUSTRY,DRUG,Change From Baseline (Week 0) to Week 8 in Eczema Area and Severity Index (EASI) Score.,https://clinicaltrials.gov/study/NCT03725722,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.9934362304976116,-0.20919734369118162
ctgov_api_trial_median_05468,NCT03725852,0.10235834665640912,68.0,9,1,8,0,event_count_or_to_d_from_count_measure; event_count_or_to_d_from_percent_measure; two_sided_p_value_proxy_with_api_group_denominators,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE2,COMPLETED,2020-07-21,,INDUSTRY,DRUG,Change From Baseline in Forced Vital Capacity (FVC) at Week 26,https://clinicaltrials.gov/study/NCT03725852,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,1.8325089127062364,-0.9898767376714995
ctgov_api_trial_median_05469,NCT03726879,0.2249402625916405,454.0,22,2,20,0,chinn_log_hazard_ratio_to_d; chinn_log_odds_ratio_to_d,clinical medicine,Clinical medicine,ClinicalTrials.gov API registered outcome results,INTERVENTIONAL,RANDOMIZED,PHASE3,COMPLETED,2021-02-05,,INDUSTRY,DRUG,Percentage of Participants With Pathological Complete Response (pCR) in the PD-L1-Positive Population (IC 1/2/3),https://clinicaltrials.gov/study/NCT03726879,one_trial_median_of_registered_primary_secondary_other_prespecified_ratio_or_event_results,2.6570558528571038,-0.6479328022061247
