point_id,plot_name,source_layer,source_family,source_label,citation_key,row_unit,unit_id,row_label,D,N,support_or_significance,source_file,source_row_number,study_type,allocation,trial_phase,completion_year,outcome_type,outcome_id,p_value,method,param_type,param_value,phase_2plus_flag,admission_reason,log10_N,log10_D,two_sample_p05_boundary_D,above_two_sample_p05_curve
ctgov_primary_randomized_00886,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00796822,Change in Flow-mediated Dilation of the Brachial Artery,0.3028790974932336,26.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,64592,Interventional,Randomized,Phase 2,2011.0,Primary,1,0.44,"t-test, 2 sided",Mean Difference (Net),-0.87,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.414973347970818,-0.5187306974713128,0.7687611233160618,False
ctgov_primary_randomized_00887,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00796926,Visual Analog Score (VAS),0.715677657486863,30.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,48532,Interventional,Randomized,Phase 3,2010.0,Primary,1,>0.05,"t-test, 2 sided",,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.4771212547196624,-0.14528254067571364,0.7156776574868629,True
ctgov_primary_randomized_00888,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00797277,The Change of the Positive and Negative Symptom Scale Excited Component (PANSS-EC) Score From Baseline to 120 Minutes After First Injection,0.4788954218992569,67.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,5265,Interventional,Randomized,Phase 3,2009.0,Primary,1,<0.05,"t-test, 2 sided",Mean Difference (Final Values),1.0,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.8260748027008264,-0.31975931466629565,0.47889542189925677,True
ctgov_primary_randomized_00889,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00798317,Proportion of Subjects With Nonsurgical Resolution of Focal Vitreomacular Adhesion at Day 28,0.3644908402774594,326.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,5264,Interventional,Randomized,Phase 3,2010.0,Primary,1,<0.001,Fisher Exact,Odds Ratio (OR),5.13,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.513217600067939,-0.4383133811098992,0.2171047306200319,True
ctgov_primary_randomized_00890,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00798967,Responder,0.6664566388338645,86.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,30372,Interventional,Randomized,Phase 3,2011.0,Primary,1,0.002,Cochran-Mantel-Haenszel,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.9344984512435677,-0.17622810150560372,0.42269670366363027,True
ctgov_primary_randomized_00891,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00799266,Mean Change From Baseline in Lumbar Spine Bone Mineral Density (BMD) Z-score at Month 12,0.7072880377661284,34.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,30375,Interventional,Randomized,Phase 3,2018.0,Primary,1,0.0392,ANCOVA,Difference in LS mean,0.414,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.5314789170422551,-0.1504036869989803,0.6722621005577867,True
ctgov_primary_randomized_00892,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00799903,"Number of Participants With First Occurrence of Any Component of the Composite of Major Adverse Cardiovascular Events (Cardiovascular [CV] Death, Non-fatal Myocardial Infarction [MI] or Non-fatal Stroke) During the Time Period for Follow-up of CV Events",0.0204182838688167,15828.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,64525,Interventional,Randomized,Phase 3,2013.0,Primary,1,0.199,"Regression, Cox",Hazard Ratio (HR),0.94,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,4.19942604159399,-1.6899807626224328,0.031157676645141654,False
ctgov_primary_randomized_00893,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00800254,Change From Baseline in Isometric Quadriceps Muscle Torque 3.5 Weeks Post-operatively,0.8100716829733754,66.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,5631,Interventional,Randomized,Phase 2,2011.0,Primary,1,<0.001,ANCOVA,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.8195439355418688,-0.09147654884686406,0.48250977824565816,True
ctgov_primary_randomized_00894,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00802529,Vertigo Attacks,0.2842156771080409,60.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,65243,Interventional,Randomized,Phase 2/Phase 3,2015.0,Primary,1,0.271,ANOVA,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,1.7781512503836436,-0.5463519704137013,0.506060524752664,False
ctgov_primary_randomized_00895,Plot 3 sensitivity,registered_primary_randomized_sidecar,ClinicalTrials.gov phase-2+ primary randomized one-row-per-trial sub-sidecar,CT.gov phase-2+ primary randomized registry rows,du2024,one_primary_registry_outcome_per_randomized_trial,NCT00802841,Percentage of Participants With Complete Cytogenetic Response (CCyR),0.1467356991719141,191.0,registry p-value proxy,data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv,64936,Interventional,Randomized,Phase 3,2014.0,Primary,1,0.3106,Fisher Exact,,,True,cleaner CT.gov registry sidecar: phase-2+ randomized interventional trial with exactly one locally eligible primary two-group outcome; still excluded from strict Plot 3 because D is a registry p-value/enrollment proxy and no protocol/SAP timing audit is attached,2.2810333672477277,-0.833464214260005,0.28363603330018633,False
