row_id,source_family,url_role,url,artifact_type,artifact_id,artifact_title,file_count,file_names_preview,probe_status,folder_count
score_azevedo_jeps_replication,SCORE/JEPS,prereg_url,https://osf.io/nxrg7/,osf_node,nxrg7:osfstorage,,2,Archive of OSF Storage/Political knowledge scale_Final.docx; Archive of OSF Storage/Ihme_JournExpPoliSci_2018_xYbO - yk16 - Preregistration Draft.pdf,metadata_ok_provider_status_http_404,1.0
score_azevedo_jeps_replication,SCORE/JEPS,result_url,https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/does-stereotype-threat-contribute-to-the-political-knowledge-gender-gap-a-preregistered-replication-study-of-ihme-and-tausendpfund-2018/1021AEEB971D486933CE265040CD0C95,plain_url,https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/does-stereotype-threat-contribute-to-the-political-knowledge-gender-gap-a-preregistered-replication-study-of-ihme-and-tausendpfund-2018/1021AEEB971D486933CE265040CD0C95,,,,http_200_text/html; charset=utf-8,
score_brodeur_zenodo_17792605,SCORE/Brodeur raw-code route,data_url,https://zenodo.org/records/17792605,zenodo_record,17792605,"Replication Package for ""Computational Reproducibility and Robustness of Empirical Economics and Political Science Research Between 2022 and 2023""",1,I4R Meta Paper Replication Package 20251201.zip,metadata_ok,
score_brodeur_zenodo_17792605,SCORE/Brodeur raw-code route,prereg_url,https://osf.io/8wsqx/,osf_node,8wsqx:osfstorage,,96,Older version/Replication Package Zipped.7z; Older version/Replication Package Not Zipped/tables/table_10c.tex; Older version/Replication Package Not Zipped/tables/table_10a.tex; Older version/Replication Package Not Zipped/tables/table_17.tex; Older version/Replication Package Not Zipped/tables/table_15.tex; Older version/Replication Package Not Zipped/tables/table_6.tex; Older version/Replication Package Not Zipped/tables/table_8.tex; Older version/Replication Package Not Zipped/tables/table_10d.tex; Older version/Replication Package Not Zipped/tables/table_1.tex; Older version/Replication Package Not Zipped/tables/table_7.tex; Older version/Replication Package Not Zipped/tables/table_10b.tex; Older version/Replication Package Not Zipped/tables/table_9.tex,metadata_ok_provider_status_ok,7.0
score_brodeur_zenodo_17792605,SCORE/Brodeur raw-code route,result_url,https://www.cos.io/score,plain_url,https://www.cos.io/score,,,,http_200_text/html; charset=UTF-8,
dime_rio_safe_space,DIME,data_url,https://microdata.worldbank.org/index.php/catalog/3745,plain_url,https://microdata.worldbank.org/index.php/catalog/3745,,,,http_200_text/html; charset=UTF-8,
dime_rio_safe_space,DIME,result_url,https://github.com/worldbank/rio-safe-space,github_repo,worldbank/rio-safe-space,worldbank/rio-safe-space,6,.gitignore; Online Appendices; Presentations and Dissemination; README.md; Reproducibility Package; img,metadata_ok_contents_ok,
cps_golden_gulzar_sonnet_2025,CPS/Dataverse,data_url,https://dataverse.harvard.edu/dataset.xhtml?persistentid=doi:10.7910/DVN/9PWQZT,dataverse_dataset,10.7910/DVN/9PWQZT,"Replication Data for: Political Responsiveness, Information Provision, and Capacity Gaps",56,00_hujra_survey-1.rds; 00_hujra_survey.rds; 02_mpas_with_treatment-1.tab; 02_mpas_with_treatment.tab; 1_an_balance.R; 20190209_nyu-1.xlsx; 20190209_nyu.xlsx; 20190524_peshawar1 -1.xlsx; 20190524_peshawar1 .xlsx; 20190524_peshawar2-1.xlsx; 20190524_peshawar2.xlsx; 20190524_peshawar3-1.xlsx,metadata_ok,
cps_golden_gulzar_sonnet_2025,CPS/Dataverse,prereg_url,https://egap.org/registration/2476 ; https://osf.io/vadwn,plain_url,https://egap.org/registration/2476,,,,http_200_text/html,
cps_golden_gulzar_sonnet_2025,CPS/Dataverse,prereg_url,https://egap.org/registration/2476 ; https://osf.io/vadwn,osf_node,vadwn:osfstorage,,2,Archive of OSF Storage/20180201AB_PAP.pdf; Archive of OSF Storage/20180201AB_PAPamendment_20180802.pdf,metadata_ok_provider_status_http_404,1.0
