source_dataset,project,pair_id,original_title,replication_title,original_doi,replication_doi,outcome,D_original,N_original,D_replication,N_replication,original_sig_05,replication_sig_05,n_ratio,d_ratio,category,appendix_row_num,smaller_N_paper_title,larger_N_paper_title,smaller_N_paper_doi,larger_N_paper_doi,D_smaller_N,N_smaller_N,D_larger_N,N_larger_N,D_larger_N_minus_smaller_N
FReD filtered pair table,FReD OpenMKT,fred_openmkt20_1264,Economic Insecurity Increases Physical Pain,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1177/0956797615625640,10.1073/pnas.2103313118,Recalling an instance in which one felt economically scarce causes an increase in reported physical pain,0.31,231.0,0.43,603.0,True,True,2.6103896103896105,1.3870967741935485,grew,,Economic Insecurity Increases Physical Pain,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1177/0956797615625640,10.1073/pnas.2103313118,0.31,231.0,0.43,603.0,0.12
FReD filtered pair table,FReD OpenMKT,fred_openmkt11_1245,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,"Unearned luxury consumption will lead to lower brand attitude than earned luxury consumption when consumers' fairness concerns are salient, but less so when fairness concerns are not salient (test for moderated mediation via consumer prestige perceptions when fairness was not salient)",0.089532296207169,251.0,0.0408248290463863,604.0,False,False,2.406374501992032,0.4559788006768151,shrunk_below_sig,,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,0.089532296207169,251.0,0.0408248290463863,604.0,-0.048707467160782704
FReD filtered pair table,FReD OpenMKT,fred_openmkt11_1234,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,"Unearned luxury consumption will lead to lower brand attitude than earned luxury consumption when consumers' fairness concerns are salient, but less so when fairness concerns are not salient (attitude toward the brands in the earned vs. unearned conditions when fairness was not salient)",0.14,251.0,0.170743410715726,319.0,False,False,1.2709163346613546,1.2195957908266144,grew,,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,0.14,251.0,0.170743410715726,319.0,0.030743410715725977
FReD filtered pair table,FReD OpenMKT,fred_openmkt11_1230,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,"Unearned luxury consumption will lead to lower brand attitude than earned luxury consumption when consumers' fairness concerns are salient, but less so when fairness concerns are not salient (the effect of fairness)",0.1553861937731012,251.0,0.089532296207169,604.0,False,False,2.406374501992032,0.5761920929597281,shrunk_below_sig,,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,0.1553861937731012,251.0,0.089532296207169,604.0,-0.0658538975659322
FReD filtered pair table,FReD OpenMKT,fred_openmkt11_1243,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,"Unearned luxury consumption will lead to lower brand attitude than earned luxury consumption when consumers' fairness concerns are salient, but less so when fairness concerns are not salient (effect on brand attitude when fairness was not salient)",0.16,251.0,0.0726681957025676,604.0,False,False,2.406374501992032,0.4541762231410476,shrunk_below_sig,,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,0.16,251.0,0.0726681957025676,604.0,-0.0873318042974324
FReD filtered pair table,FReD OpenMKT,fred_openmkt11_1233,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,"Unearned luxury consumption will lead to lower brand attitude than earned luxury consumption when consumers' fairness concerns are salient, but less so when fairness concerns are not salient (attitude toward the brands in the earned and unspecified conditions when fairness was salient)",0.18,251.0,0.0691997984075396,283.0,False,False,1.1274900398406376,0.3844433244863314,shrunk_below_sig,,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,0.18,251.0,0.0691997984075396,283.0,-0.11080020159246039
FReD filtered pair table,FReD OpenMKT,fred_openmkt11_1240,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,"Unearned luxury consumption will lead to lower brand attitude than earned luxury consumption when consumers' fairness concerns are salient, but less so when fairness concerns are not salient (brand attitude in consumption resources conditions when the earned and unspecified conditions were combined)",0.3202563076101742,251.0,0.1097091989077257,604.0,True,False,2.406374501992032,0.3425668637923194,shrunk_below_sig,,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,0.3202563076101742,251.0,0.1097091989077257,604.0,-0.21054710870244853
FReD filtered pair table,FReD OpenMKT,fred_openmkt11_1244,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,"Unearned luxury consumption will lead to lower brand attitude than earned luxury consumption when consumers' fairness concerns are salient, but less so when fairness concerns are not salient (test for moderated mediation via consumer prestige perceptions when fairness was salient)",0.3202563076101742,251.0,0.0408248290463863,604.0,True,False,2.406374501992032,0.1274754878398196,shrunk_below_sig,,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,0.3202563076101742,251.0,0.0408248290463863,604.0,-0.2794314785637879
FReD filtered pair table,FReD OpenMKT,fred_openmkt11_1228,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,"Unearned luxury consumption will lead to lower brand attitude than earned luxury consumption when consumers' fairness concerns are salient, but less so when fairness concerns are not salient (effect of consumption resources)",0.3456363256646348,251.0,0.2383172923768684,604.0,True,True,2.406374501992032,0.6895030258136227,shrunk_still_sig,,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,0.3456363256646348,251.0,0.2383172923768684,604.0,-0.1073190332877664
FReD filtered pair table,FReD OpenMKT,fred_openmkt11_1229,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,"Unearned luxury consumption will lead to lower brand attitude than earned luxury consumption when consumers' fairness concerns are salient, but less so when fairness concerns are not salient (interaction with fairness)",0.3577247213489583,251.0,0.1097091989077257,604.0,True,False,2.406374501992032,0.3066860978856003,shrunk_below_sig,,Did They Earn It? Observing Unearned Luxury Consumption Decreases Brand Attitude When Observers Value Fairness,Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity,10.1002/jcpy.1028,10.1073/pnas.2103313118,0.3577247213489583,251.0,0.1097091989077257,604.0,-0.2480155224412326
