artifact_id	parent_corpus_database_id	artifact_role	candidate_parser_family	file_type	file_name	raw_url	source_local_path	mirror_status	mirror_local_path	mirror_sha256	mirror_byte_size	sample_status	sample_path	sample_kind	sample_error
source_artifact_5f3f015480a0814a	repo_search_osf_92e639ac2dc7	data_file	csv_table_parser	csv	Datenanalyse_S23-1_Brueckner_Bojic_Kohse_Frey.csv	https://osf.io/download/2utfq/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_5f3f015480a0814a__Datenanalyse_S23-1_Brueckner_Bojic_Kohse_Frey.csv	93354dd0e16895b02934364b4902cc4e1cb1f01e9f054013d1246268f0aaede9	22091	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_5f3f015480a0814a.json	delimited_table	
source_artifact_2a98ebc2b0708776	repo_search_osf_92e639ac2dc7	provider_file	unknown	jasp	Datensatz_Analyse_Wollmann_Buschermöhle_Düwel.jasp	https://osf.io/download/y2jec/		unsupported_file_type:jasp			6160405	not_sampled			
source_artifact_27bb23caa0a7067e	repo_search_osf_92e639ac2dc7	provider_file	unknown	jasp	Datensatz_Berechnungen_TimSaeger_LindaFriese.jasp	https://osf.io/download/kcv6d/		unsupported_file_type:jasp			28939953	not_sampled			
source_artifact_a357001689287a9f	repo_search_osf_92e639ac2dc7	data_file	csv_table_parser	csv	Datensatz_LenaJestrimski_SelinBayram.csv	https://osf.io/download/dhcbs/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_a357001689287a9f__Datensatz_LenaJestrimski_SelinBayram.csv	e370cd7a37cd6f10e349cf792b5a3f0add86e173604f75fc9da591e79ba637b2	3705	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_a357001689287a9f.json	delimited_table	
source_artifact_c80b80445c9bb364	repo_search_osf_92e639ac2dc7	provider_file	unknown	jasp	Datensatz_LenaJestrimski_SelinBayram.jasp	https://osf.io/download/4zyfj/		unsupported_file_type:jasp			4909836	not_sampled			
source_artifact_bd113127d5e7b67f	repo_search_osf_92e639ac2dc7	provider_file	unknown	jasp	Datensatz_Lyn Heintzen_Nadja Miroshnikova_Lara Penz_Nele Struckhof.jasp	https://osf.io/download/ank3j/		unsupported_file_type:jasp			2538088	not_sampled			
source_artifact_6375868995da59bd	repo_search_osf_92e639ac2dc7	data_file	csv_table_parser	csv	Datensatz_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.csv	https://osf.io/download/rgkxb/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_6375868995da59bd__Datensatz_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.csv	0b2118f0352320aece264ff078809af2f9d77d673cce293a0a7ffa20f62d2b62	49193	sample_failed	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_6375868995da59bd.json	sample_failed	Error tokenizing data. C error: Expected 15 fields in line 3, saw 18
source_artifact_004ddb6b0c54f384	repo_search_osf_92e639ac2dc7	data_file	statistical_package_parser	sav	Datensatz_Roh(Lehmann,Litters,Toplar).sav	https://osf.io/download/erjc3/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_004ddb6b0c54f384__Datensatz_Roh_Lehmann_Litters_Toplar_.sav	dc1e6da7a759ca6fd54cf59f9596b043782fca9a070814394b8ec4f3c5830cfd	37498	metadata_only	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_004ddb6b0c54f384.json	metadata_only	
source_artifact_660ddb1409fa88d6	repo_search_osf_92e639ac2dc7	data_file	statistical_package_parser	sav	Datensatz_bereinigt_nur14_(Lehmann, Litters, Toplar).sav	https://osf.io/download/jvs4u/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_660ddb1409fa88d6__Datensatz_bereinigt_nur14__Lehmann_Litters_Toplar_.sav	0a697a743946b1674414d9ab8d538b70fa85b856d14a9fc74ed00a867efe0419	29930	metadata_only	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_660ddb1409fa88d6.json	metadata_only	
source_artifact_aa275362aeafa074	repo_search_osf_92e639ac2dc7	data_file	csv_table_parser	csv	Deskriptive Analysen_S23-1_Brueckner_Bojic_Kohse_Frey.csv	https://osf.io/download/38tg4/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_aa275362aeafa074__Deskriptive_Analysen_S23-1_Brueckner_Bojic_Kohse_Frey.csv	00aa17994ee74aec76d2c612d47b125a57dc0faf878eaafded17101afed34e84	21385	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_aa275362aeafa074.json	delimited_table	
source_artifact_69974e9f1b98b021	repo_search_osf_92e639ac2dc7	provider_file	unknown	docx	Deskriptive Statistik_Stand 08.12.2023.docx	https://osf.io/download/3rcet/		unsupported_file_type:docx			422695	not_sampled			
source_artifact_c5ab36705d86d039	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	html	Ergebnisse_LenaJestrimski_SelinBayram.html	https://osf.io/download/v2p8j/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_c5ab36705d86d039__Ergebnisse_LenaJestrimski_SelinBayram.html	74ef1ff2430c46fd5925015806f8398f78e4840fec8088bbe25f6b54e86d5d0c	1929363	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_c5ab36705d86d039.json	html_text	
source_artifact_f3fa23e4d804609c	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Fragebogen(Lehmann,Litters,Toplar).pdf	https://osf.io/download/fb98j/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_f3fa23e4d804609c__Fragebogen_Lehmann_Litters_Toplar_.pdf	3d8b3ed00b44d93cd7e37dae60a21333e44da68d744aecc88ab287586e9910cf	3319878	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_f3fa23e4d804609c.json	pdf_text	
source_artifact_bbf9fd3b6409235c	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Fragebogen_LenaJestrimski_SelinBayram.pdf	https://osf.io/download/e637x/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_bbf9fd3b6409235c__Fragebogen_LenaJestrimski_SelinBayram.pdf	96014014411593ac09083afc42d45a9272df1939b7a8b0276a681da929253ca8	3142045	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_bbf9fd3b6409235c.json	pdf_text	
source_artifact_a781f2d617ef762a	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Handout.pdf	https://osf.io/download/zwm4c/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_a781f2d617ef762a__Handout.pdf	990ee22ea7736bd477527ca701ccdf68711a2398d1042f80f06c728a4ba7a0b0	906600	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_a781f2d617ef762a.json	pdf_text	
source_artifact_e30e7ef940802565	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Handout_LenaJestrimski_SelinBayram.pdf	https://osf.io/download/rh65u/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_e30e7ef940802565__Handout_LenaJestrimski_SelinBayram.pdf	3141ed24d09209c9178904da7309c2c1faee515642c38d5d588d6eca9702c5be	328090	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_e30e7ef940802565.json	pdf_text	
source_artifact_7287c040060e5d9b	repo_search_osf_92e639ac2dc7	provider_file	unknown	docx	Handout_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.docx	https://osf.io/download/4qz8n/		unsupported_file_type:docx			19795	not_sampled			
source_artifact_d7e1e06f695bc8cb	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Handout_Replikationsstudie_TimSäger_LindaFriese.pdf	https://osf.io/download/9jf23/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_d7e1e06f695bc8cb__Handout_Replikationsstudie_TimSa_ger_LindaFriese.pdf	8ae94e0c7a46a0d5ba5e7e249173848e19a1406211c5f6ededd109cb65f175ce	382066	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_d7e1e06f695bc8cb.json	pdf_text	
source_artifact_f6e2dc14bbca2c18	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Handout_S23_1_Wollmann_Buschermöhle_Düwel_2024.pdf	https://osf.io/download/4aj5u/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_f6e2dc14bbca2c18__Handout_S23_1_Wollmann_Buschermo_hle_Du_wel_2024.pdf	a84bc194f0d80fa39cb80c40eb9bad3e10e096589ac2eaf690017e7e43160066	977452	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_f6e2dc14bbca2c18.json	pdf_text	
source_artifact_e6e622e2f7dec87b	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Handout_s23_1_Brueckner_Bojic_Kohse_Frey.pdf	https://osf.io/download/trmpv/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_e6e622e2f7dec87b__Handout_s23_1_Brueckner_Bojic_Kohse_Frey.pdf	b2c5c8c86e24563067dfec5e4b9e0c4574d91db9f24c5325c85271cc06ce9bdf	207222	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_e6e622e2f7dec87b.json	pdf_text	
source_artifact_af91e6aeb918c454	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Handout_s23_1_Meissner_Schmauch_Rieckmann.pdf	https://osf.io/download/umca4/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_af91e6aeb918c454__Handout_s23_1_Meissner_Schmauch_Rieckmann.pdf	cdf709487d6dcd0ca1ab9e550351f813a3e764c7a1933551e48dee8bb47a9d31	176567	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_af91e6aeb918c454.json	pdf_text	
source_artifact_a04a122f60487dc2	repo_search_osf_92e639ac2dc7	data_file	xlsx_workbook_parser	xlsx	Heatmap_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.xlsx	https://osf.io/download/mnstu/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_a04a122f60487dc2__Heatmap_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.xlsx	de2dfb25ad5fcaf32f66c9907039fb0c53e3d89ece2b00df2b738cc255e76716	75580	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_a04a122f60487dc2.json	excel_workbook	
source_artifact_8e8c1ecd9d833e1c	repo_search_osf_92e639ac2dc7	data_file	xlsx_workbook_parser	xlsx	Heatmap_TimSäger_LindaFriese.xlsx	https://osf.io/download/dhma2/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_8e8c1ecd9d833e1c__Heatmap_TimSa_ger_LindaFriese.xlsx	e8074d20f5e73b3a9fda95ecbcc8ea9ad08d65ef9e75a891b69000e07dfe5761	16436	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_8e8c1ecd9d833e1c.json	excel_workbook	
source_artifact_4ea7ce4b6b5fb29c	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Legende_keine_Eingabe(Lehmann,Litters,Toplar).pdf	https://osf.io/download/um986/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_4ea7ce4b6b5fb29c__Legende_keine_Eingabe_Lehmann_Litters_Toplar_.pdf	2699f17c93224dce585cb6691ba85d5c51f24569a3cbb5ca677760604154110a	1072827	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_4ea7ce4b6b5fb29c.json	pdf_text	
source_artifact_304ff3ff62b8ea46	repo_search_osf_92e639ac2dc7	provider_file	unknown	docx	Lineare Regression Alle Szenarien.docx	https://osf.io/download/p9nwm/		unsupported_file_type:docx			153410	not_sampled			
source_artifact_771e12887c4aba6b	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Präsentation.pdf	https://osf.io/download/ut94p/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_771e12887c4aba6b__Pra_sentation.pdf	f1e50613e886579d3407115c54efe7d6ed37e66ef200c5e8facc1014281364ae	8838558	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_771e12887c4aba6b.json	pdf_text	
source_artifact_a14e5136871aa336	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Präsentation_Ergebnisse_Wollmann_Buschermöhle_Düwel.pdf	https://osf.io/download/h8x4k/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_a14e5136871aa336__Pra_sentation_Ergebnisse_Wollmann_Buschermo_hle_Du_wel.pdf	8c13e696fb14dcdc4f4d4bb340e73dcb0f8a08966adef32ea79d43c107e0e70d	4266832	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_a14e5136871aa336.json	pdf_text	
source_artifact_11d5b4abcccedb33	repo_search_osf_92e639ac2dc7	provider_file	unknown	pptx	Präsentation_LenaJestrimski_SelinBayram.pptx	https://osf.io/download/vku3h/		unsupported_file_type:pptx			4304456	not_sampled			
source_artifact_c78c27db0f390be3	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Präsentation-LindaFriese-TimSaeger.pdf	https://osf.io/download/qx4kp/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_c78c27db0f390be3__Pr_sentation-LindaFriese-TimSaeger.pdf	cfd01e66deb84ead26c692adb1962877901b1fbe58c825111c36ebfdf91f9a56	4555808	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_c78c27db0f390be3.json	pdf_text	
source_artifact_8c651a42deebefaa	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Präsentation_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.pdf	https://osf.io/download/2nwpc/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_8c651a42deebefaa__Pr_sentation_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.pdf	166b04702a4b7227a66833048221a8958855df98f97e9e1e59eb70525589f570	12709693	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_8c651a42deebefaa.json	pdf_text	
