Study ID,Week beginning,Journal Name,Trial Title,Publication Date,Link to online trial report,Link to online reistry entry for trial,"Link to pre-trial protocol, if available",Pre-specified outcomes obtained from protocol or registry entry?,Assessor Name,Assigned date,Completion date,Link to Assessment,Assessment checked by second assessor - date,Second assessor name,Second assessor discrepancies?,Second assessor discrepancies free text,Total number of prespecified primary outcomes,Number of prespecified primary outcomes reported somewhere in the publication (other that main results table),Number of prespecified primary outcomes correctly reported,Total number of prespecified secondary outcomes,Number of prespecified secondary outcomes reported somewhere in the publication (other than main results table),Number of prespecified secondary outcomes correctly reported,Total number of non-prespecified outcomes reported,Number of non-prespecified outcomes correctly reported  (ie novel outcomes but described as such in the paper),First Assessor Opinion - Letter required?,Second Assessor Opinion - Letter Required?,Final Decision - Letter Required?,Link to letter,Letter checked by BG or CH - initial and date,Letter Submission Deadline,Letter sent date,Letter Status,Letter published date,"Results, Letter, Assessment checked for website - 1st assessor initial and date",Publication delay,"Complications and matters arising, in free text"
26,,Lancet,Early combined immunosuppression for the management of Crohn's disease (REACT): a cluster randomised controlled trial,07/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00068-9/abstract,https://clinicaltrials.gov/ct2/show/record/NCT01030809,Protocol published after trial start date,Registry Entry,Ioan Milosevic,06/11/2015,12/11/2015,https://drive.google.com/open?id=1rFEPRxKepvxmgBoSR4AB7LYE3hH47RnLAQ3PNoxjFaA,17/11/2015,Aaron Dale,Yes,Where reporting of secondary outcomes is unclear. See assessment sheet comments ,1,0,1,6,3,3,2,0,Yes,Not Sure,Yes,https://drive.google.com/open?id=19ol_bD43dNdXlUdoB2l9TBvkiTK4pIRRUryadFbPovI,KM 18/11,#REF!,19/11/2015,Letter published,,IM 22/12,,Endpoint was changed to 24 months in registry post trial commencement. Paper reports primary endpoint was at 12 months (so switched back). Some (insignificant) secondary outcome measures were only reported in the appendix.
27,,Lancet,"Prophylactic antibiotics after acute stroke for reducing pneumonia in patients with dysphagia (STROKE-INF): a prospective, cluster-randomised, open-label, masked endpoint, controlled clinical trial",07/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00126-9/abstract,http://www.isrctn.com/ISRCTN37118456,Protocol published after trial start date,Registry Entry,Ioan Milosevic,06/11/2015,13/11/2015,https://drive.google.com/open?id=1zJXYlYwO7wEFpExAnQSevNKKzpQWS6hB9HMroTB3-ic,17/11/2015,Aaron Dale,No,,2,0,1,14,0,6,6,0,Yes,Yes,Yes,https://drive.google.com/open?id=1w1FcU2f5GNsT41K8uFLKOZd2nc4GaD2AHoQGX5Gm67o,KM 18/11,#REF!,19/11/2015,Letter published,,IM 22/12,,
28,,Lancet,Fractional flow reserve versus angiography for guidance of PCI in patients with multivessel coronary artery disease (FAME): 5-year follow-up of a randomised controlled trial,07/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00057-4/abstract,http://clinicaltrials.gov/show/NCT00267774,https://drive.google.com/file/d/0B7EgEnbh0CtLYWR6YkpRTEJBSGM/view ,Registry Entry,Aaron Dale,06/11/2015,12/11/2015,https://docs.google.com/spreadsheets/d/1Tf7OfqrmVXQ-9UNq9Arvp0P3L7Q7aQhVF8CyjGQF6-8/edit#gid=0,15/11/2015,Eirion Slade,No,,1,0,1,5,1,4,5,1,Yes,Yes,Yes,https://drive.google.com/file/d/0B7EgEnbh0CtLbnk4NjdzTVRocWc/view,CH 18/11,#REF!,19/11/2015,Letter unpublished after 4 weeks,,AD 29/12,,
29,,Lancet,Sensitivity and specificity of mammography and adjunctive ultrasonography to screen for breast cancer in the Japan Strategic Anti-cancer Randomized Trial (J-START): a randomised controlled trial,04/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00774-6/abstract,https://upload.umin.ac.jp/cgi-open-bin/ctr/ctr.cgi,Not available,Registry Entry,Aaron Dale,06/11/2015,16/11/2015,https://docs.google.com/spreadsheets/d/1ZHXt8oTW68mPzWbT18T_A0mZl0cuRPkcUeodFoiIx1c/edit#gid=0,17/11/2015,Eirion Slade,No,,3,0,3,1,0,0,16,0,Yes,Yes,Yes,https://docs.google.com/document/d/1tXYCsjXpTYIQi-fu6ch6rmPTe8z92I1dXML6jFe2S2U/edit,CH 17/11,#REF!,17/11/2015,Letter unpublished after 4 weeks,,AD 30/12,,
30,,Lancet,Effect of the REG1 anticoagulation system versus bivalirudin on outcomes after percutaneous coronary intervention (REGULATE-PCI): a randomised clinical trial,04/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00515-2/abstract,https://clinicaltrials.gov/show/NCT01848106,,Registry Entry,Eirion Slade,06/11/2015,08/11/2015,https://docs.google.com/spreadsheets/d/1C2pd7Glsr746SV0a6lrPPhibqxRyl0wpeNwLr_Cbcu8/edit#gid=0,16/11/2015,Philip Hartley,Yes,,1,0,1,0,0,0,21,0,Yes,Yes,Yes,https://docs.google.com/document/d/1KAqmC4lv5VdWN8tVx3q-01RebTsqg2U42r_rgUbKJRw/edit,CH 17/11,#REF!,17/11/2015,Letter published,,HD 20/12,,
31,,NEJM,Isosorbide Mononitrate in Heart Failure with Preserved Ejection Fraction,08/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1510774,https://clinicaltrials.gov/ct2/show/record/NCT02053493,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1510774/suppl_file/nejmoa1510774_protocol.pdf,Protocol,Ioan Milosevic,13/11/2015,15/11/2015,https://drive.google.com/open?id=1jCwJbak-f-nG4YQpCghJVVLJxU2Wdi2T0PtOys58iag,16/11/2015,Philip Hartley,No,,1,0,1,8,0,6,2,0,Yes,Yes,Yes,https://drive.google.com/open?id=120zGiRRUrabuUvvpDWwIx2Z9DYMEux7RsSIXWuTN9fg,KM 19/11,#REF!,19/11/2015,Letter rejected by editor,,IM 22/12,,
32,,JAMA,A Randomized Trial of Cardiovascular Responses to Energy Drink Consumption in Healthy Adults,08/11/2015,http://jama.jamanetwork.com/article.aspx?articleid=2469194,https://clinicaltrials.gov/show/NCT01940822,http://jama.jamanetwork.com/data/Journals/JAMA/0/JLD150045supp1_prod.pdf,Protocol,Ioan Milosevic,13/11/2015,15/11/2015,https://docs.google.com/spreadsheets/d/1JDSvQdt0ZQpTu3tkK_XpGtCOC8pxczkhUI-IZlgbWog/edit?usp=drive_web,16/11/2015,Philip Hartley,No,,4,0,2,6,0,4,2,0,Yes,Yes,Yes,https://drive.google.com/open?id=1xV2ljGXrars-BlKiOMnWtxqkU8MLR9Etl_rlA_pQNag,BG 25 nov 15,#REF!,26/11/2015,Letter rejected by editor,,IM 12/1,,
33,,JAMA,"Effect of Vericiguat, a Soluble Guanylate Cyclase Stimulator, on Natriuretic Peptide Levels in Patients With Worsening Chronic Heart Failure and Reduced Ejection Fraction",08/11/2015,http://jama.jamanetwork.com/article.aspx?articleid=2469195,https://clinicaltrials.gov/show/NCT01951625,,Registry Entry,Aaron Dale,13/11/2015,19/11/2015,https://docs.google.com/spreadsheets/d/1SsUx4ZZ1gYa06GdwsPH_hlH25fDgj7hU0TQI5bMxUqE/edit,21/11/2015,Henry Drysdale,No,,1,0,1,1,1,0,28,28,No,No,Yes,https://drive.google.com/file/d/0B7EgEnbh0CtLMW9nUDhINDIxZHM/view,CH 30/11,#REF!,03/12/2015,Letter rejected by editor,,AD 30/12,,
34,,Lancet,Sustained efficacy of pulmonary artery pressure to guide adjustment of chronic heart failure therapy: complete follow-up results from the CHAMPION randomised trial,08/11/2015,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00723-0/abstract,https://clinicaltrials.gov/show/NCT00531661,http://www.onlinejcf.com/article/S1071-9164(10)01049-3/abstract,Protocol,Aaron Dale,13/11/2015,19/11/2015,https://docs.google.com/spreadsheets/d/1_0qc9LjkvawkuuTAem7dZjSjj4Ck8LMRcno2BFeQnks/edit#gid=0,21/11/2015,Henry Drysdale,No,,0,0,0,0,0,0,8,0,Yes,Yes,Yes,https://drive.google.com/file/d/0B7EgEnbh0CtLMkFzVllubEY2djQ/view,CH 23/11,#REF!,23/11/2015,Letter unpublished after 4 weeks,,AD 30/12,,Outcomes not entered into trial registry until after trial was completed. Protocol published after randomisation phase of trial was completed.
35,09/11/2015,NEJM,Two-Year Outcomes of Surgical Treatment of Severe Ischemic Mitral Regurgitation,09/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1512913,https://clinicaltrials.gov/ct2/show/NCT00807040,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1512913/suppl_file/nejmoa1512913_protocol.pdf,Protocol,Aaron Dale,13/11/2015,23/11/2015,https://docs.google.com/spreadsheets/d/1tunIl7eAGKvQinPtzHeP8CiwU9GglkH0seUnPN1cHe8/edit#gid=0,24/11/2015,Henry Drysdale,Yes,"See comments in assessment sheet for secondaries 10 and 13, and non-prespecified 2",1,0,1,22,0,10,2,0,Yes,Yes,Yes,https://drive.google.com/file/d/0B7EgEnbh0CtLeEFQNUxlMU9lTGc/view,BG 30 nov,#REF!,30/11/2015,Letter rejected by editor,,AD 30/12,,State outcomes that cannot be found on the trial registry were pre-specified. Original protocol linked to the wrong trial but this has been corrected.
36,,NEJM,Trial of Continuous or Interrupted Chest Compressions during CPR,09/11/2015,http://www.nejm.org/doi/full/10.1056/NEJMoa1509139,https://clinicaltrials.gov/ct2/show/NCT01372748?term=NCT01372748&rank=1,http://www.nejm.org/doi/suppl/10.1056/NEJMoa1509139/suppl_file/nejmoa1509139_protocol.pdf,Protocol,Philip Hartley,13/11/2015,15/11/2015,https://docs.google.com/spreadsheets/d/1fsuathdpHeOBXEUlVR8L6hIz1QMaeuKFj9LCkWIaHq4/edit#gid=0,20/11/2015,Aaron Dale,No,,1,0,1,8,0,6,8,1,Yes,Yes,Yes,https://docs.google.com/document/d/1m3z1o4_ED4blEHxVsaxf9ta2XXWmYY9-PY82dR2dAtk/edit,CH 18/11,#REF!,18/11/2015,Letter rejected by editor,,HD 20/12,,Mechanistic outcomes used in the protocol as a loop hole to 'allow' selective reporting of outcomes
