source_id	identifier_type	identifier_value	identifier_url	identifier_source	is_primary	confidence	notes
work_title_complete_heartburn_relief_during_the_first_full_24_hour_period_in	nct	NCT00236184	https://clinicaltrials.gov/study/NCT00236184	source.tsv	true	high	
work_title_complete_heartburn_relief_during_the_first_full_24_hour_period_in	url	https://clinicaltrials.gov/study/NCT00236184	https://clinicaltrials.gov/study/NCT00236184	source.tsv	true	medium	
work_plot2_metabus_open_bosco_pp_63_2_439_4994	url	https://doi.org/10.1111/peps.2010.63.issue-2	https://doi.org/10.1111/peps.2010.63.issue-2	source.tsv	true	medium	
work_title_aflibercept_versus_placebo_in_combination_with_docetaxel_and_predn	pmid	23742877	https://pubmed.ncbi.nlm.nih.gov/23742877/	source.tsv	false	high	
work_title_aflibercept_versus_placebo_in_combination_with_docetaxel_and_predn	nct	NCT00519285	https://clinicaltrials.gov/study/NCT00519285	source.tsv	true	high	
work_title_aflibercept_versus_placebo_in_combination_with_docetaxel_and_predn	url	https://clinicaltrials.gov/study/NCT00519285	https://clinicaltrials.gov/study/NCT00519285	source.tsv	true	medium	
work_doi_10_1007_s10683_011_9295_3	doi	10.1007/s10683-011-9295-3	https://doi.org/10.1007/s10683-011-9295-3	source.tsv	true	high	
work_doi_10_1007_s10683_011_9295_3	url	https://doi.org/10.1007/s10683-011-9295-3	https://doi.org/10.1007/s10683-011-9295-3	source.tsv	true	medium	
work_plot2_schaefer_schwarz_2019_without_prereg_schaefer_2019_np_mul_077_7036	url	https://doi.org/10.5860/choice.37sup-077	https://doi.org/10.5860/choice.37sup-077	source.tsv	true	medium	
work_plot2_metabus_open_bosco_jap_66_3_371_3048	url	https://doi.org/10.1037/0021-9010.66.3.371	https://doi.org/10.1037/0021-9010.66.3.371	source.tsv	true	medium	
work_title_genetic_variants_in_cpa6_and_prpf31_are_associated_with_variation	pmid	29650774	https://pubmed.ncbi.nlm.nih.gov/29650774/	source.tsv	true	high	
work_title_genetic_variants_in_cpa6_and_prpf31_are_associated_with_variation	url	https://pubmed.ncbi.nlm.nih.gov/29650774/	https://pubmed.ncbi.nlm.nih.gov/29650774/	source.tsv	true	medium	
work_title_bold_oxygen_level_dependent_bold_activations_in_prespecified_rois	nct	NCT02818036	https://clinicaltrials.gov/study/NCT02818036	source.tsv	true	high	
work_title_bold_oxygen_level_dependent_bold_activations_in_prespecified_rois	url	https://clinicaltrials.gov/study/NCT02818036	https://clinicaltrials.gov/study/NCT02818036	source.tsv	true	medium	
work_title_untx_corrected_by_creatinine_50_nmol_mmol_at_week_13	nct	NCT00104650	https://clinicaltrials.gov/study/NCT00104650	source.tsv	true	high	
work_title_untx_corrected_by_creatinine_50_nmol_mmol_at_week_13	url	https://clinicaltrials.gov/study/NCT00104650	https://clinicaltrials.gov/study/NCT00104650	source.tsv	true	medium	
work_title_percent_change_from_baseline_in_calculated_low_density_lipoprotein	nct	NCT02715726	https://clinicaltrials.gov/study/NCT02715726	source.tsv	true	high	
