access_id	source_id	access_role	remote_url	api_url	local_path	content_type	file_sha256	file_size_bytes	retrieved_at	retrieved_by	retrieval_method	access_status	access_barrier	access_notes
acc_fbfe56d3b9e1	src_masur2025privacy	source_file_or_catalog			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	csv	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef	1085788		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv
acc_1bbbfd2a0269	src_woodhoyprykechinaaiddataverse	source_file_or_catalog			data/raw/corpus_candidates/political_science_unlock/dataverse/3VVWPL/3VVWPL.zip	zip	d7841f69f45e03086cc1cbe23e0238389b4f5447294be157a3f3e657f9070a88	42722		preexisting_pipeline_or_unknown	existing_local_file_plus_notes	local_file_found		data/raw/corpus_candidates/political_science_unlock/dataverse/3VVWPL/3VVWPL.zip; 2 NZ data JEPS FINAL.dta; AEA RCT Registry trial 5055 primary outcomes; Chinn conversion from raw vignette/control event counts; component contrast too_much_aid; promoted from package-derived political-science rescue audit rows; median collapse of 3 preregistered result rows
acc_4c6ecf2ff3fc	src_tosh2024	source_file_or_catalog			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	csv	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef	1085788		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv
acc_706556435f5c	src_tyner2026	source_file_or_catalog			data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	csv	1c791475a346fb37fc5ad7036c9a23911aa5c09de7ac9bdb287541373fff1edf	4178869		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot2_published_paper_details.csv
acc_e31028e9cfc9	src_button2013	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_08fbd052d6f4	src_tosh2024	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_34066047d272	src_motyl2017state	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_955ee95804a2	src_bosco2020metabus	source_file_or_catalog			data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	csv	1c791475a346fb37fc5ad7036c9a23911aa5c09de7ac9bdb287541373fff1edf	4178869		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot2_published_paper_details.csv
acc_6e9aff6ea42d	src_motyl2017state	source_file_or_catalog			data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	csv	1c791475a346fb37fc5ad7036c9a23911aa5c09de7ac9bdb287541373fff1edf	4178869		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot2_published_paper_details.csv
acc_a117f6b34f9f	src_bergmann2018metalab	source_file_or_catalog			data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	csv	1c791475a346fb37fc5ad7036c9a23911aa5c09de7ac9bdb287541373fff1edf	4178869		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot2_published_paper_details.csv
acc_243241970d60	src_kuhberger2014publicationbias	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_ce0eea488afa	src_bergmann2018metalab	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_60722000a1f2	src_errington2021	source_file_or_catalog			data/derived/replication_pairs/replication_pairs_all_on_hand.csv	csv	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46	1546005		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/replication_pairs/replication_pairs_all_on_hand.csv
acc_bfd3ba4b82f0	src_yun2024llmextraction	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_c001ba98ffa4	src_linden2024publicationbiaspsychology	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_836393e43a35	src_tyner2026	source_file_or_catalog			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	csv	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef	1085788		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv
acc_c82cc0154174	src_olsson2023publicationbias	source_file_or_catalog			data/derived/corpus_candidates/candidate_d_n_papers.csv	csv	d66c2a74d4c5538150621d178363a966c30037282fb00f5589891dc7939fdcd8	9921908		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/corpus_candidates/candidate_d_n_papers.csv
acc_95d516eb65a0	src_klein2018	source_file_or_catalog			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	csv	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef	1085788		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv
acc_657710719430	src_internalkerschbaumerphaseiiiiirheumatology	source_file_or_catalog			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	csv	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef	1085788		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv
acc_2504e92784a8	src_soto2019loopr	source_file_or_catalog			data/derived/replication_pairs/replication_pairs_all_on_hand.csv	csv	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46	1546005		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/replication_pairs/replication_pairs_all_on_hand.csv
acc_392a3a7068d9	src_ito2018eyewitnesstencountries	source_file_or_catalog			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	csv	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef	1085788		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv
acc_16883b29fd49	src_collaboration2015	source_file_or_catalog			data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	csv	b98d3ef8c13cb1f7f01832761e17adafaa01728d2e50d839d07afbd6bb841eef	1085788		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv
acc_73c5c186136c	src_collaboration2015	source_file_or_catalog			data/derived/replication_pairs/replication_pairs_all_on_hand.csv	csv	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46	1546005		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/replication_pairs/replication_pairs_all_on_hand.csv
acc_3418deef355d	src_boyce2023studentreplication	source_file_or_catalog			data/derived/replication_pairs/replication_pairs_all_on_hand.csv	csv	dc666693fdaa9f58f0b1101f835dd9a33da3522ef78d4f2a50dd7e99d179de46	1546005		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/replication_pairs/replication_pairs_all_on_hand.csv
acc_35c6b26a456a	src_zhang2025clinifact	source_file_or_catalog			data/derived/effect_inflation_dataset/plot2_published_paper_details.csv	csv	1c791475a346fb37fc5ad7036c9a23911aa5c09de7ac9bdb287541373fff1edf	4178869		preexisting_pipeline_or_unknown	existing_local_file	local_file_found		data/derived/effect_inflation_dataset/plot2_published_paper_details.csv
