source_result_id	represented_source_id	route	route_family	api_url	api_record_id	candidate_url	final_url	http_status	content_type	byte_count	source_byte_class	local_path	sha256	identity_decision	identity_reason	title_token_coverage	candidate_doi	primary_doi	failure_code	download_attempted
sr_47e74981aa68	work_title_olsson_sundell_2023_57	europepmc_fulltext_xml	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1371/journal.pone.0281110%22&format=json&resultType=core	PMC9901762	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9901762/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9901762/fullTextXML	200	application/xml	116948	full_article_xml	data/cache/full_article_text_acquisition/sample_300/sr_47e74981aa68__europepmc_fulltext_xml__7db6a4e0dab3.xml	0cfd78fc5679d052ee51e28e69b23ca0c8b419895f780c1ce0828ff9a8e0fc63	accepted_full_article_text	primary DOI appears in candidate text	1.0		10.1371/journal.pone.0281110	full_article_text_obtained	true
sr_6c3663410cb7	work_title_many_labs_2_alter_1	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1037/0096-3445.136.4.569%22&format=json&resultType=core	17999571	https://doi.org/10.1037/0096-3445.136.4.569	https://doi.apa.org/doi/10.1037/0096-3445.136.4.569	403	text/html	856	full_article_html			not_accepted		0.0	10.1037/0096-3445.136.4.569	10.1037/0096-3445.136.4.569	http_403_blocked	true
sr_6c3663410cb7	work_title_many_labs_2_alter_1	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1037/0096-3445.136.4.569?mailto=rexdouglass%40gmail.com	10.1037/0096-3445.136.4.569	http://psycnet.apa.org/journals/xge/136/4/569.pdf	http://psycnet.apa.org/journals/xge/136/4/569.pdf	403	text/html	848	full_article_pdf			not_accepted		0.0		10.1037/0096-3445.136.4.569	http_403_blocked	true
sr_6c3663410cb7	work_title_many_labs_2_alter_1	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1037/0096-3445.136.4.569	doi_dedup___::8aec5337ad2a5f4323578d4ff957c341	https://pubmed.ncbi.nlm.nih.gov/17999571	https://pubmed.ncbi.nlm.nih.gov/17999571	200	text/html; charset=utf-8	21219	full_article_html		f99a106b9f87bfe338d3ad26a8b482415d902b845cecc159f36a6ce5ccf8f588	reject_not_full_article_text	html_landing_or_too_short_words=3292_body_terms=0	0.0	10.1037/0096-3445.136.4.569	10.1037/0096-3445.136.4.569	captcha_or_bot_block	true
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1177/0003122418762441?mailto=rexdouglass%40gmail.com	10.1177/0003122418762441	https://journals.sagepub.com/doi/pdf/10.1177/0003122418762441	https://journals.sagepub.com/doi/pdf/10.1177/0003122418762441	403	text/html; charset=UTF-8	5763	full_article_html			not_accepted		0.0	10.1177/0003122418762441	10.1177/0003122418762441	http_403_blocked	true
sr_0372d6c4f192	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1177/0003122418762441?mailto=rexdouglass%40gmail.com	10.1177/0003122418762441	https://journals.sagepub.com/doi/full-xml/10.1177/0003122418762441	https://journals.sagepub.com/doi/full-xml/10.1177/0003122418762441	403	text/html; charset=UTF-8	5778	full_article_html			not_accepted		0.0	10.1177/0003122418762441	10.1177/0003122418762441	http_403_blocked	true
sr_6c8fbd0ac45b	work_plot2_metabus_open_bosco_pp_53_1_153_4827	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1111/j.1744-6570.2000.tb00198.x?mailto=rexdouglass%40gmail.com	10.1111/j.1744-6570.2000.tb00198.x	https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1744-6570.2000.tb00198.x	https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1744-6570.2000.tb00198.x	400	text/plain	0	unknown_candidate			not_accepted		0.0		10.1111/j.1744-6570.2000.tb00198.x	unknown_or_non_article_bytes	true
sr_df148fcf0ce2	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1177/247553031600100201?mailto=rexdouglass%40gmail.com	10.1177/247553031600100201	https://journals.sagepub.com/doi/pdf/10.1177/247553031600100201	https://journals.sagepub.com/doi/pdf/10.1177/247553031600100201	403	text/html; charset=UTF-8	5769	full_article_html			not_accepted		0.0	10.1177/247553031600100201	10.1177/247553031600100201	http_403_blocked	true
sr_df148fcf0ce2	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1177/247553031600100201?mailto=rexdouglass%40gmail.com	10.1177/247553031600100201	https://journals.sagepub.com/doi/full-xml/10.1177/247553031600100201	https://journals.sagepub.com/doi/full-xml/10.1177/247553031600100201	403	text/html; charset=UTF-8	5805	full_article_html			not_accepted		0.0	10.1177/247553031600100201	10.1177/247553031600100201	http_403_blocked	true
sr_a9a7d2fcc0d6	work_title_explaining_explanations_how_legislators_explain_their_policy_posit	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1111/ajps.12164?mailto=rexdouglass%40gmail.com	10.1111/ajps.12164	https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fajps.12164	https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fajps.12164	400	text/plain	0	unknown_candidate			not_accepted		0.0		10.1111/ajps.12164	unknown_or_non_article_bytes	true
sr_be4fa916ebbe	work_title_religious_beliefs_and_behavior_cognitive_orientation_towards_spiri	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1111/1467-6494.t01-1-00094%22&format=json&resultType=core	10820684	https://doi.org/10.1111/1467-6494.00094	https://onlinelibrary.wiley.com/doi/10.1111/1467-6494.00094	403	text/html; charset=UTF-8	10394	full_article_html			not_accepted		0.0	10.1111/1467-6494.00094	10.1111/1467-6494.t01-1-00094	http_403_blocked	true
sr_be4fa916ebbe	work_title_religious_beliefs_and_behavior_cognitive_orientation_towards_spiri	europepmc_fulltext_url	europepmc	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1111/1467-6494.t01-1-00094%22&format=json&resultType=core	10820684	https://doi.org/10.1111/1467-6494.t01-1-00094	https://onlinelibrary.wiley.com/doi/10.1111/1467-6494.t01-1-00094	403	text/html; charset=UTF-8	5790	full_article_html			not_accepted		0.0	10.1111/1467-6494.t01-1-00094	10.1111/1467-6494.t01-1-00094	http_403_blocked	true
sr_be4fa916ebbe	work_title_religious_beliefs_and_behavior_cognitive_orientation_towards_spiri	crossref_fulltext_link	crossref	https://api.crossref.org/works/10.1111/1467-6494.t01-1-00094?mailto=rexdouglass%40gmail.com	10.1111/1467-6494.t01-1-00094	https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2F1467-6494.t01-1-00094	https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2F1467-6494.t01-1-00094	400	text/plain	0	unknown_candidate			not_accepted		0.0		10.1111/1467-6494.t01-1-00094	unknown_or_non_article_bytes	true
sr_be4fa916ebbe	work_title_religious_beliefs_and_behavior_cognitive_orientation_towards_spiri	openaire_instance_url	openaire	https://api.openaire.eu/graph/v1/researchProducts?pid=10.1111/1467-6494.t01-1-00094	doi_dedup___::6ba84c76b8df6eda4b8e50815967c13f	https://pubmed.ncbi.nlm.nih.gov/10820684	https://pubmed.ncbi.nlm.nih.gov/10820684/	200	text/html; charset=utf-8	125209	full_article_html	data/cache/full_article_text_acquisition/sample_300/sr_be4fa916ebbe__openaire_instance_url__71fb86159f05.html	b005c4db3858b2060bab2d7ef43dbb040d045499d1e1ad4875754bb34b5757b3	accepted_full_article_text	primary DOI appears in candidate text	0.714	10.1111/1467-6494.t01-1-00094	10.1111/1467-6494.t01-1-00094	full_article_text_obtained	true
