canonical_result_id	source_result_id	membership_role	included_in_collapse	included_in_statistics	aggregation_role	weight	notes
cr_1944d7cc3ce0	sr_c15be1b60041	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_a06da7d937bd	sr_b2348504f69b	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_856586b6d006	sr_87ff7572edff	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_528d0b0bbfe1	sr_f31698e541dc	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_cf0693a9bb10	sr_05a96a248d34	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_be39d1bcfbd3	sr_6d53289e06ab	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_1b2b1ee70f3e	sr_528e74f3ea09	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_1d1425ddc05e	sr_68b9aab77905	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_e71227675295	sr_612caed0e0da	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_c26e3a80d45e	sr_21fe810427f5	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_dea9a4e408fb	sr_d77f8db1d1b7	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_6080be97b5c5	sr_31cedf25f0f0	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_dd1d616fa15c	sr_553821bb35af	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_8b4a324ac62b	sr_6ec02a020539	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_284926d25dbc	sr_6b48885948a9	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_092b5d985968	sr_afedb8c87b93	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_04f544e1f7a6	sr_fbb29ff3b4c7	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_99676ce8b727	sr_dc4eddf69c3c	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_45dd91a5cbc3	sr_01b8db23d742	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_670d6a44e52d	sr_0832a411bca2	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_f55a63e299ad	sr_47e74981aa68	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_c9efa59802e6	sr_6c3663410cb7	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_9f7bf74e8ec2	sr_0372d6c4f192	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_9735b4ab283f	sr_6c8fbd0ac45b	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_52026d2d9766	sr_df148fcf0ce2	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_2b369c6622b1	sr_d3539c7b3ccb	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_27e04d097f8c	sr_b60e3b988d3b	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_8fd3ec317d1c	sr_3fcd19c120b1	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_8cc70fc66b6b	sr_a9a7d2fcc0d6	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_f30d69dba27d	sr_be4fa916ebbe	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_75fac1fd2e88	sr_e2cb991d651a	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_3a2ce105a73e	sr_76a99a771018	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_dce8b5cc444a	sr_4018aa63d523	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_7ec691ba22d2	sr_1ffcb30d1c76	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_ac6e3d563324	sr_5b1a0fc622e3	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_62716ea314e5	sr_29a6bfd3a748	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_d506005e9c6a	sr_1c71871780ff	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_b36062c27101	sr_1ba37b2938cd	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_7943bace02d2	sr_0a4728aa6abf	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_ef7f62c4de62	sr_3e576eaeee38	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_eb9f31c77627	sr_9ff92c0aba20	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_57fc3fbc7870	sr_14d8f4c6d1d5	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_0c6f1f0a5f0e	sr_025e90b19395	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_6e12e85028b5	sr_efa55a2812ef	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_708dc4a98c0f	sr_9d0246e3a748	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_53d860f1b52f	sr_6c3339adac2d	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_d155f3571faa	sr_2ef5e9c7214d	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_087b74e8f205	sr_09224852e3e6	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_414653a1833e	sr_a556216508fd	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_301eb63ce6e2	sr_fd9b4c04ec6f	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_89b112ac2e3f	sr_ddfbf61c7617	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_80c5101ad6a5	sr_4458f7fc086a	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_f7be8512973d	sr_3a4c25fbf576	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_ec8134053338	sr_71af0798216e	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_2a029c957e66	sr_09da2adb56e5	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_fe92d40b2a9a	sr_17d687917962	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_a1ffffab147a	sr_ed726dff7f0e	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_d86503ff3261	sr_2a81f3efc08e	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_32d89bd68660	sr_ea908acbfb0c	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_840171733c91	sr_dde25d3c0279	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_e520ca2055cc	sr_ddd3d7c5f433	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_820e8cecbd3d	sr_3c91b76d15f8	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_f8495d337342	sr_b55639792416	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_c11adb3855ba	sr_b5e29f519aae	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_745407ada139	sr_3741edf3cd08	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_09d6eca52d0d	sr_5adb462eb079	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_917880431bd8	sr_3f9b6a09599c	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_39c3a979c337	sr_928de8f12480	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_df2a2e7ed34b	sr_827b0884ef5e	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_78841168d1cc	sr_b7cb57c5cb78	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_b6478cee59e0	sr_581b0190b9f5	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_13205c413fbe	sr_5c714fede5eb	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_1aa51b73f170	sr_8144e362ed8b	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_ac0b9913e536	sr_936ecd0105d4	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
cr_2d297458f324	sr_7902813ac3c1	preferred	true	false	preferred_source		Pilot membership generated from sampled source_result rows; full parent-child lists are not reconstructed beyond the 300-row pilot.
