source_result_id	represented_source_id	previous_evidence_level	previous_evidence_level_name	source_citation_key	represented_title	doi	route	attempt_kind	candidate_url	http_status	final_url	content_type	byte_count	pdf_valid	local_path	sha256	failure_reason	route_note
sr_0a4728aa6abf	work_doi_10_1007_s10683_011_9295_3	4	target_source_independently_grounded	tyner2026	Rodríguez-Lara and Moreno-Garrido (2011)	10.1007/s10683-011-9295-3	crossref_tdm_pdf	pdf_candidate	http://link.springer.com/article/10.1007/s10683-011-9295-3/fulltext.html	200	https://link.springer.com/article/10.1007/s10683-011-9295-3	text/html; charset=utf-8	275774	false			login_or_paywall_html	
sr_0a4728aa6abf	work_doi_10_1007_s10683_011_9295_3	4	target_source_independently_grounded	tyner2026	Rodríguez-Lara and Moreno-Garrido (2011)	10.1007/s10683-011-9295-3	unpaywall_pdf_metadata	metadata	doi:10.1007/s10683-011-9295-3					false			ok	0 pdf candidates
sr_0a4728aa6abf	work_doi_10_1007_s10683_011_9295_3	4	target_source_independently_grounded	tyner2026	Rodríguez-Lara and Moreno-Garrido (2011)	10.1007/s10683-011-9295-3	openalex_pdf_metadata	metadata	doi:10.1007/s10683-011-9295-3					false			ok	0 pdf candidates
sr_0a4728aa6abf	work_doi_10_1007_s10683_011_9295_3	4	target_source_independently_grounded	tyner2026	Rodríguez-Lara and Moreno-Garrido (2011)	10.1007/s10683-011-9295-3	semantic_scholar_openaccess_pdf_metadata	metadata	doi:10.1007/s10683-011-9295-3					false			ok	0 pdf candidates
sr_0a4728aa6abf	work_doi_10_1007_s10683_011_9295_3	4	target_source_independently_grounded	tyner2026	Rodríguez-Lara and Moreno-Garrido (2011)	10.1007/s10683-011-9295-3	europepmc_pdf_metadata	metadata	doi:10.1007/s10683-011-9295-3					false			ok	0 pdf candidates
sr_0a4728aa6abf	work_doi_10_1007_s10683_011_9295_3	4	target_source_independently_grounded	tyner2026	Rodríguez-Lara and Moreno-Garrido (2011)	10.1007/s10683-011-9295-3	doi_accept_pdf	pdf_candidate	https://doi.org/10.1007/s10683-011-9295-3	200	https://www.cambridge.org/core/journals/experimental-economics/article/abs/selfinterest-and-fairness-selfserving-choices-of-justice-principles/406ECB48ACBC33ED09C1130B2646FE66	text/html; charset=utf-8	935500	false			login_or_paywall_html	DOI resolver requested with Accept: application/pdf
sr_143d87ef36aa	work_title_is_there_selection_bias_in_laboratory_experiments_the_case_of_soci	4	target_source_independently_grounded	tyner2026	Is There Selection Bias In Laboratory Experiments? The Case Of Social And Risk Preferences	10.1007/s10683-012-9342-8	crossref_tdm_pdf_metadata	metadata	doi:10.1007/s10683-012-9342-8					false			ok	2 pdf candidates
sr_143d87ef36aa	work_title_is_there_selection_bias_in_laboratory_experiments_the_case_of_soci	4	target_source_independently_grounded	tyner2026	Is There Selection Bias In Laboratory Experiments? The Case Of Social And Risk Preferences	10.1007/s10683-012-9342-8	crossref_tdm_pdf	pdf_candidate	http://link.springer.com/content/pdf/10.1007/s10683-012-9342-8.pdf	200	https://link.springer.com/article/10.1007/s10683-012-9342-8	text/html; charset=utf-8	245899	false			login_or_paywall_html	
sr_143d87ef36aa	work_title_is_there_selection_bias_in_laboratory_experiments_the_case_of_soci	4	target_source_independently_grounded	tyner2026	Is There Selection Bias In Laboratory Experiments? The Case Of Social And Risk Preferences	10.1007/s10683-012-9342-8	crossref_tdm_pdf	pdf_candidate	http://link.springer.com/article/10.1007/s10683-012-9342-8/fulltext.html	200	https://link.springer.com/article/10.1007/s10683-012-9342-8	text/html; charset=utf-8	245899	false			login_or_paywall_html	
sr_143d87ef36aa	work_title_is_there_selection_bias_in_laboratory_experiments_the_case_of_soci	4	target_source_independently_grounded	tyner2026	Is There Selection Bias In Laboratory Experiments? The Case Of Social And Risk Preferences	10.1007/s10683-012-9342-8	unpaywall_pdf_metadata	metadata	doi:10.1007/s10683-012-9342-8					false			ok	0 pdf candidates
